"","k","perplexity"
"1",2,1707.6151448448
"2",2,1668.63742018599
"3",2,1678.06438862061
"4",2,1691.51097075756
"5",2,1770.41148525965
"6",4,1614.17108197487
"7",4,1590.31329100191
"8",4,1592.29014738346
"9",4,1615.1314063085
"10",4,1689.81998796663
"11",6,1584.7876653837
"12",6,1556.35746510321
"13",6,1548.27025436879
"14",6,1571.2987833365
"15",6,1648.49306197535
"16",8,1532.31662011383
"17",8,1524.46209941709
"18",8,1514.85471969687
"19",8,1544.69397031614
"20",8,1602.48681759762
"21",10,1505.46800559424
"22",10,1508.41153447258
"23",10,1485.54009153925
"24",10,1520.48360244724
"25",10,1578.15202866363
"26",12,1471.52845016735
"27",12,1488.43177913212
"28",12,1471.5676265626
"29",12,1511.904672674
"30",12,1577.43973297492
"31",14,1461.29434839459
"32",14,1470.2778609886
"33",14,1458.43076080055
"34",14,1476.46769992865
"35",14,1554.5311624972
"36",16,1447.21887660413
"37",16,1468.02738788106
"38",16,1445.22870297856
"39",16,1475.43326090166
"40",16,1547.01477362357
"41",18,1435.56803059961
"42",18,1459.48755567617
"43",18,1430.63414688181
"44",18,1463.26656209002
"45",18,1532.52834826557
"46",20,1425.38273424751
"47",20,1444.77750203182
"48",20,1428.29424705394
"49",20,1455.70964560891
"50",20,1518.95855027574
"51",22,1420.74989050593
"52",22,1441.20753767032
"53",22,1411.66409832588
"54",22,1443.12966170819
"55",22,1508.42346556911
"56",24,1410.65992269462
"57",24,1428.89264662587
"58",24,1408.01032602364
"59",24,1440.53719131007
"60",24,1499.55506297596
"61",26,1410.36641404681
"62",26,1427.86545774636
"63",26,1400.54553666005
"64",26,1433.662886381
"65",26,1489.66469013157
"66",28,1402.24715872583
"67",28,1421.59838399095
"68",28,1385.26941520652
"69",28,1437.19045476951
"70",28,1492.39491348482
"71",30,1393.60706144845
"72",30,1418.3840599662
"73",30,1387.53359225286
"74",30,1431.63987735255
"75",30,1485.72732031739
"76",32,1390.75329813992
"77",32,1415.52567008565
"78",32,1385.17637860478
"79",32,1422.69064720516
"80",32,1485.13930183267
"81",34,1399.8854727434
"82",34,1410.76944422925
"83",34,1391.81705552415
"84",34,1419.62846912978
"85",34,1482.36891256263
"86",36,1386.14910024973
"87",36,1413.09982223635
"88",36,1380.44675098901
"89",36,1418.57444484171
"90",36,1479.56596982751
"91",38,1382.61132611169
"92",38,1410.82879623155
"93",38,1384.7236884591
"94",38,1425.12558198317
"95",38,1468.90677951001
"96",40,1376.38550898642
"97",40,1406.51115325541
"98",40,1374.73435584887
"99",40,1414.88640722694
"100",40,1476.08132166955
"101",42,1386.09304017795
"102",42,1407.7666290933
"103",42,1372.19320375488
"104",42,1418.428116629
"105",42,1471.22844012742
"106",44,1389.8080041241
"107",44,1408.91636175963
"108",44,1393.29354736254
"109",44,1411.50007767012
"110",44,1472.28735365793
"111",46,1386.18617603429
"112",46,1408.73572456242
"113",46,1383.42397563361
"114",46,1417.80430480389
"115",46,1490.70323426489
"116",48,1380.79380678131
"117",48,1408.24168929143
"118",48,1376.16281902904
"119",48,1416.89383760722
"120",48,1496.55538056401
"121",50,1387.58866349752
"122",50,1411.59716039903
"123",50,1378.5562640667
"124",50,1414.27354206961
"125",50,1478.39642480023
