year,X,anger,fear,joy,sadness,positive,negative,countYear
1885,66,4,13,22,61,17,83,1
1895,417,65,41,185,308,229,371,6
1896,1467,185,50,800,763,723,1077,18
1897,756,265,33,203,300,162,638,8
1898,2899,523,157,768,1149,725,1875,26
1899,1841,242,56,439,665,475,925,14
1900,2655,220,115,571,894,602,1198,18
1901,8460,688,208,1652,2150,1589,3111,47
1902,1239,103,34,234,230,197,403,6
1903,11208,544,162,1879,2215,1851,2949,48
1904,3432,128,88,520,563,472,828,13
1905,3318,117,24,517,540,482,718,12
1906,2583,109,24,367,397,386,514,9
1907,1470,45,17,247,192,196,304,5
1908,12324,436,125,1543,1795,1622,2278,39
1909,2031,66,12,219,302,184,416,6
1910,5592,286,45,500,772,524,1076,16
1911,8868,319,119,811,1151,910,1490,24
1912,3084,98,34,347,320,341,459,8
1913,21606,652,285,1824,2439,1955,3245,52
1914,3115,62,35,256,345,255,445,7
1915,2255,73,23,197,206,207,293,5
1918,1365,53,7,86,154,89,211,3
1919,457,12,0,18,71,29,71,1
1921,458,6,0,41,53,41,59,1
1922,3700,112,37,313,338,332,468,8
1924,1874,27,15,191,166,187,213,4
1925,2390,105,29,417,447,476,524,10
1926,9257,490,151,1592,1665,1648,2252,39
1927,7507,473,86,1595,1544,1569,2131,37
1928,4661,233,61,1339,768,1303,1097,24
