pair;anger;fear;joy;sadness;positive;negative
Svevo Benco;18;9;27;45;14;86
Svevo Benco;8;0;50;42;50;50
Svevo Benco;0;0;83;17;75;25
Svevo Bliznakoff;20;8;24;47;39;61
Svevo Bruno;29;0;0;71;29;71
Svevo Bruno;0;0;45;55;45;55
Svevo Cappelli;22;22;39;17;33;67
Svevo Cesari;35;9;24;32;24;76
Svevo Commediografo;27;0;53;20;40;60
Svevo Comnène;11;0;33;56;56;44
Svevo Comnène;25;0;50;25;67;33
Svevo Comnène;12;4;36;48;48;52
Svevo Comnène;4;9;35;52;48;52
Svevo Comnène;24;0;26;50;39;61
Svevo Comnène;17;0;50;33;33;67
Svevo Comnène;0;0;40;60;50;50
Svevo Comnène;7;0;50;43;57;43
Svevo Comnène;8;4;46;42;58;42
Svevo Comnène;17;0;50;33;50;50
Svevo Comnène;0;25;50;25;25;75
Svevo Comnène;5;10;40;45;50;50
Svevo Comnène;33;0;17;50;33;67
Svevo Comnène;18;3;32;47;44;56
Svevo Crémieux;0;0;69;31;69;31
Svevo Crémieux;20;4;32;44;32;68
Svevo Crémieux;13;0;44;42;56;44
Svevo Crémieux;39;4;17;39;22;78
Svevo Crémieux;0;4;48;48;52;48
Svevo Crémieux;4;0;46;50;61;39
Svevo Crémieux;5;0;65;30;60;40
Svevo Crémieux;21;0;38;41;41;59
Svevo Crémieux;0;0;67;33;60;40
Svevo Crémieux;8;4;32;56;40;60
Svevo Debenedetti;0;0;56;44;67;33
Svevo Del Conte;10;0;52;38;57;43
Svevo Elio;4;13;22;61;17;83
Svevo Famiglia;17;8;25;50;42;58
Svevo Ferrero;21;4;36;39;32;68
Svevo Frescura;8;0;69;23;69;31
Svevo Frizzi Freiberger;11;0;21;68;26;74
Svevo Henri Michel;0;0;67;33;78;22
Svevo Henri Michel;0;17;67;17;67;33
Svevo Henri Michel;0;0;36;64;18;82
Svevo Henri Michel;16;11;32;42;32;68
Svevo Henri Michel;0;22;67;11;56;44
Svevo Henri Michel;5;0;67;29;62;38
Svevo Henri Michel;33;3;27;37;37;63
Svevo Henri Michel;0;0;50;50;50;50
Svevo Henri Michel;0;0;65;35;53;47
Svevo Henri Michel;9;0;39;52;43;57
Svevo Henri Michel;26;0;42;32;37;63
Svevo Henri Michel;12;12;62;12;50;50
Svevo Henri Michel;0;0;73;27;55;45
Svevo Henri Michel;0;0;60;40;60;40
Svevo Henri Michel;13;13;47;27;53;47
Svevo Henri Michel;23;0;38;38;31;69
Svevo Henri Michel;17;6;56;22;56;44
Svevo Jahier;4;0;43;54;39;61
Svevo Jahier;8;0;69;23;46;54
Svevo Jahier;0;6;33;61;44;56
Svevo Jahier;13;0;40;47;47;53
Svevo Jahier;13;3;29;55;26;74
Svevo Jahier;18;6;24;52;27;73
Svevo Jahier;23;5;30;43;32;68
Svevo Jahier;8;3;31;59;41;59
Svevo Jahier;6;0;56;38;69;31
Svevo Jahier;19;0;44;38;50;50
Svevo Jahier;0;0;80;20;60;40
Svevo Jahier;6;0;65;29;59;41
Svevo Jahier;15;10;30;45;40;60
Svevo Jahier;0;0;43;57;43;57
Svevo Jahier;11;0;33;56;44;56
Svevo Joyce;26;11;30;33;30;70
Svevo Joyce;9;4;48;39;57;43
Svevo Joyce;21;7;36;36;57;43
Svevo Joyce;0;0;57;43;71;29
Svevo Joyce;5;0;62;33;57;43
Svevo Joyce;0;0;100;0;100;0
Svevo Joyce;0;0;36;64;64;36
Svevo Joyce;3;0;59;38;69;31
Svevo Joyce;8;0;46;46;62;38
Svevo Joyce;0;0;33;67;56;44
Svevo Joyce;0;0;71;29;57;43
Svevo Joyce;0;0;78;22;89;11
Svevo Joyce;0;25;75;0;75;25
Svevo Larbaud;10;0;50;40;80;20
Svevo Larbaud;4;4;38;54;46;54
Svevo Larbaud;18;9;45;27;36;64
Svevo Larbaud;0;0;59;41;65;35
Svevo Larbaud;0;0;50;50;62;38
Svevo Larbaud;4;0;36;61;43;57
Svevo Larbaud;17;4;35;43;43;57
Svevo Larbaud;25;3;36;36;39;61
Svevo Larbaud;6;0;50;44;56;44
Svevo Larbaud;25;8;50;17;46;54
Svevo Larbaud;0;0;60;40;40;60
Svevo Letizia;10;0;50;40;40;60
Svevo Letizia;7;0;64;29;57;43
Svevo Letizia;28;3;47;22;44;56
Svevo Letizia;22;0;56;22;44;56
Svevo Letizia;7;4;33;56;37;63
Svevo Livia;17;7;47;30;47;53
Svevo Livia;0;0;50;50;75;25
Svevo Livia;0;0;50;50;75;25
Svevo Livia;8;12;38;42;46;54
Svevo Livia;14;0;57;29;21;79
Svevo Livia;0;0;75;25;75;25
Svevo Livia;0;0;50;50;25;75
Svevo Livia;0;0;100;0;75;25
Svevo Livia;0;0;100;0;75;25
Svevo Livia;20;0;40;40;60;40
Svevo Livia;12;9;39;39;36;64
Svevo Livia;0;0;27;73;18;82
Svevo Livia;22;11;33;33;33;67
Svevo Livia;0;0;43;57;43;57
Svevo Livia;0;0;50;50;25;75
Svevo Livia;0;14;57;29;43;57
Svevo Livia;20;0;20;60;20;80
Svevo Livia;18;18;45;18;27;73
Svevo Livia;14;0;29;57;57;43
Svevo Livia;0;0;67;33;33;67
Svevo Livia;17;8;50;25;42;58
Svevo Livia;20;0;40;40;60;40
Svevo Livia;0;0;33;67;67;33
Svevo Livia;11;0;22;67;22;78
Svevo Livia;19;19;38;25;25;75
Svevo Livia;15;3;38;44;41;59
Svevo Livia;24;0;18;59;24;76
Svevo Livia;44;11;22;22;22;78
Svevo Livia;100;0;0;0;0;100
Svevo Livia;0;0;50;50;25;75
Svevo Livia;38;0;12;50;0;100
Svevo Livia;30;2;35;33;33;67
Svevo Livia;25;0;25;50;25;75
Svevo Livia;100;0;0;0;0;100
Svevo Livia;33;0;67;0;33;67
Svevo Livia;57;0;29;14;14;86
Svevo Livia;67;0;17;17;17;83
Svevo Livia;0;20;60;20;20;80
Svevo Livia;43;0;29;29;0;100
Svevo Livia;22;0;33;44;22;78
Svevo Livia;0;14;43;43;29;71
Svevo Livia;27;4;29;39;37;63
Svevo Livia;12;0;29;59;35;65
Svevo Livia;12;10;39;39;47;53
Svevo Livia;31;6;19;44;19;81
Svevo Livia;21;3;34;41;31;69
Svevo Livia;6;11;34;49;29;71
Svevo Livia;17;14;25;44;26;74
Svevo Livia;13;7;27;53;20;80
Svevo Livia;13;2;18;67;27;73
Svevo Livia;27;0;23;50;32;68
Svevo Livia;23;4;27;46;25;75
Svevo Livia;13;7;17;63;24;76
Svevo Livia;0;0;33;67;42;58
Svevo Livia;33;0;27;39;30;70
Svevo Livia;15;5;29;51;34;66
Svevo Livia;7;7;31;56;29;71
Svevo Livia;33;4;26;37;29;71
Svevo Livia;23;5;21;50;27;73
Svevo Livia;11;8;23;58;32;68
Svevo Livia;15;2;30;53;36;64
Svevo Livia;20;12;19;48;24;76
Svevo Livia;19;7;22;52;21;79
Svevo Livia;16;8;17;59;21;79
Svevo Livia;13;2;33;51;36;64
Svevo Livia;10;7;24;59;22;78
Svevo Livia;14;6;25;56;28;72
Svevo Livia;29;5;23;44;24;76
Svevo Livia;15;0;20;66;33;67
Svevo Livia;5;20;25;50;35;65
Svevo Livia;0;11;44;44;67;33
Svevo Livia;25;8;22;44;25;75
Svevo Livia;13;11;23;53;30;70
Svevo Livia;23;18;18;41;18;82
Svevo Livia;20;7;27;47;47;53
Svevo Livia;18;5;26;51;27;73
Svevo Livia;14;5;32;50;27;73
Svevo Livia;11;3;34;53;42;58
Svevo Livia;20;9;30;41;34;66
Svevo Livia;6;6;28;61;33;67
Svevo Livia;17;0;25;58;29;71
Svevo Livia;19;9;22;50;19;81
Svevo Livia;20;10;31;39;29;71
Svevo Livia;11;3;28;57;34;66
Svevo Livia;20;2;26;52;28;72
Svevo Livia;5;5;40;50;50;50
Svevo Livia;10;0;40;50;35;65
Svevo Livia;26;9;14;51;20;80
Svevo Livia;24;4;24;47;22;78
Svevo Livia;20;3;27;50;37;63
Svevo Livia;22;4;35;39;33;67
Svevo Livia;17;2;29;52;34;66
Svevo Livia;7;0;36;57;50;50
Svevo Livia;22;5;31;42;27;73
Svevo Livia;34;0;26;40;32;68
Svevo Livia;22;10;29;39;31;69
Svevo Livia;25;3;29;43;28;72
Svevo Livia;18;4;33;46;35;65
Svevo Livia;16;6;31;47;29;71
Svevo Livia;26;4;44;26;33;67
