year;anger;fear;joy;sadness;positive;negative
1885;4;13;22;61;17;83
1886;17;8;25;50;42;58
1895;6;14;16;65;23;77
1895;18;9;27;45;14;86
1895;23;0;15;62;15;85
1895;32;5;16;47;0;100
1895;12;6;31;50;44;56
1895;18;18;27;36;27;73
1895;17;7;47;30;47;53
1895;0;0;50;50;75;25
1895;0;0;50;50;75;25
1896;8;12;38;42;46;54
1896;14;0;57;29;21;79
1896;0;0;75;25;75;25
1896;0;0;50;50;25;75
1896;0;0;100;0;75;25
1896;0;0;100;0;75;25
1896;20;0;40;40;60;40
1896;12;9;39;39;36;64
1896;8;8;42;42;21;79
1896;0;0;27;73;18;82
1896;22;11;33;33;33;67
1896;0;0;43;57;43;57
1896;0;0;50;50;25;75
1896;0;14;57;29;43;57
1896;20;0;20;60;20;80
1896;18;18;45;18;27;73
1896;14;0;29;57;57;43
1896;0;0;67;33;33;67
1896;17;8;50;25;42;58
1896;20;0;40;40;60;40
1896;0;0;33;67;67;33
1896;11;0;22;67;22;78
1896;27;0;53;20;40;60
1897;19;19;38;25;25;75
1897;15;3;38;44;41;59
1897;24;0;18;59;24;76
1897;44;11;22;22;22;78
1897;100;0;0;0;0;100
1897;0;0;50;50;25;75
1897;38;0;12;50;0;100
1897;30;2;35;33;33;67
1897;25;0;25;50;25;75
1897;100;0;0;0;0;100
1898;33;0;67;0;33;67
1898;57;0;29;14;14;86
1898;67;0;17;17;17;83
1898;0;20;60;20;20;80
1898;43;0;29;29;0;100
1898;22;0;33;44;22;78
1898;0;14;43;43;29;71
1898;27;4;29;39;37;63
1898;12;0;29;59;35;65
1898;12;10;39;39;47;53
1898;31;6;19;44;19;81
1898;21;3;34;41;31;69
1898;6;11;34;49;29;71
1898;17;14;25;44;26;74
1898;13;7;27;53;20;80
1898;13;2;18;67;27;73
1898;27;0;23;50;32;68
1898;23;4;27;46;25;75
1898;13;7;17;63;24;76
1898;0;0;33;67;42;58
1898;33;0;27;39;30;70
1898;15;5;29;51;34;66
1898;7;7;31;56;29;71
1898;33;4;26;37;29;71
1898;23;5;21;50;27;73
1898;11;8;23;58;32;68
1898;15;2;30;53;36;64
1898;20;12;19;48;24;76
1898;19;7;22;52;21;79
1898;16;8;17;59;21;79
1898;13;2;33;51;36;64
1898;10;7;24;59;22;78
1898;14;6;25;56;28;72
1898;29;5;23;44;24;76
1898;15;0;20;66;33;67
1898;5;20;25;50;35;65
1898;0;11;44;44;67;33
1898;25;8;22;44;25;75
1898;13;11;23;53;30;70
1898;23;18;18;41;18;82
1899;20;7;27;47;47;53
1899;18;5;26;51;27;73
1899;14;5;32;50;27;73
1899;11;3;34;53;42;58
1899;20;9;30;41;34;66
1899;6;6;28;61;33;67
1899;17;0;25;58;29;71
1899;19;9;22;50;19;81
1899;20;10;31;39;29;71
1899;11;3;28;57;34;66
1899;20;2;26;52;28;72
1899;5;5;40;50;50;50
1899;10;0;40;50;35;65
1899;26;9;14;51;20;80
1899;24;4;24;47;22;78
1899;20;3;27;50;37;63
1899;22;4;35;39;33;67
1899;17;2;29;52;34;66
1899;7;0;36;57;50;50
1899;22;5;31;42;27;73
1899;34;0;26;40;32;68
1899;22;10;29;39;31;69
1899;25;3;29;43;28;72
1899;18;4;33;46;35;65
1899;16;6;31;47;29;71
1899;26;4;44;26;33;67
1899;8;0;38;54;54;46
1899;8;10;31;52;29;71
1900;20;0;40;40;40;60
1900;0;0;31;69;46;54
1900;11;7;37;44;48;52
1900;5;0;35;60;40;60
1900;19;8;35;38;31;69
1900;19;3;26;52;42;58
1900;9;9;36;45;36;64
1900;14;11;14;61;11;89
1900;25;0;15;60;20;80
1900;15;6;40;40;32;68
1900;17;8;8;67;17;83
1900;17;0;39;44;33;67
1900;8;4;38;50;33;67
1900;22;9;22;48;13;87
1900;37;3;16;45;16;84
1900;15;10;33;41;41;59
1900;14;9;28;48;30;70
1900;10;2;30;57;40;60
1900;12;9;21;58;19;81
1900;12;0;25;62;38;62
1900;13;2;31;54;35;65
1900;0;17;50;33;50;50
1900;29;0;43;29;29;71
1900;10;6;32;52;26;74
1900;13;0;47;40;47;53
1900;10;10;29;52;32;68
1900;17;0;25;58;17;83
1900;8;8;27;58;35;65
1900;9;3;28;59;19;81
1900;0;15;30;55;33;67
1900;20;10;20;50;20;80
1900;0;6;29;65;29;71
1900;9;9;41;41;41;59
1900;17;0;33;50;25;75
1900;15;10;40;35;30;70
1901;8;0;67;25;50;50
1901;0;17;22;61;39;61
1901;0;0;45;55;45;55
1901;40;7;13;40;7;93
1901;20;13;20;47;27;73
1901;12;0;75;12;62;38
1901;8;0;31;62;23;77
1901;17;7;38;38;24;76
1901;29;0;36;36;43;57
1901;9;9;27;55;27;73
1901;21;4;25;50;33;67
1901;6;6;44;44;31;69
1901;17;0;33;50;25;75
1901;9;4;39;48;35;65
1901;14;7;43;36;36;64
1901;22;0;44;33;33;67
1901;0;0;50;50;25;75
1901;29;3;16;53;18;82
1901;8;0;25;67;25;75
1901;0;0;33;67;22;78
1901;30;0;40;30;30;70
1901;41;0;35;24;29;71
1901;0;0;62;38;46;54
1901;36;5;27;32;23;77
1901;14;0;57;29;29;71
1901;20;7;33;40;40;60
1901;6;6;28;61;17;83
1901;8;0;50;42;33;67
1901;15;0;15;70;15;85
1901;13;0;40;47;60;40
